legal_name,purpose
Oconnect Germany GmbH,"Im- Export und Vertrieb von Waren und Technologien aller Art, insbesondere elektronische und digitale Geräte, Photovoltaik-Produkte, Maschinen und Anlagen, Unterhaltungsgeräte, Hausgeräte, Möbel und Matratzen, Sanitärprodukte, mobile Häuser, Werkzeuge, Lampen und Leuchtmittel, Messer, Tierbedarf, Dekorationsartikel, Schreibmittel, Spielzeuge, Wagen und Automobilteile, Textilien und Accessoires wie z.B. Kleidung, Bettwäschen, Babyartikel, Lederwaren, Taschen und Schuhe, Sportartikel, des weiteren Lebensmittelund Nahrungsergänzungsmittel, Getränke alkoholisch und nicht alkoholisch, sowie Kosmetikartikel abgesehen von genehmigungspflichtigen Gegenständen; Dienstleistungen in den Bereichen von Imund Exportagentur, Lagerung, Logistikberatung, Ausstellung, Messe, Event-Veranstaltung, Unternehmensverwaltung und - Vermarktung, Design von Unternehmens- Erscheinungsbild, Kulturaustausch, Werbung und Marketing, Text- und Bildbearbeitung, Geschäftsberatung und Investitionen in Deutschland, letzteres nur soweit nicht genehmigungspflichtig."
Hari. i. Punkt art und werbedesign GmbH,"Der Entwurf und die Verwirklichung von Werbeprojekten, die Gastronomieberatung sowie der Groß- und Einzelhandel, der Imund Export mit Werbeträgern aller Art. Die Gesellschaft kann sich zu diesen Zwecken an anderen Gesellschaften beteiligen und deren Geschäftsführung übernehmen."
Contract Park GmbH,"Gegenstand des Unternehmens ist die Entwicklung und der Vertrieb von Software zur Vertragsgestaltung, zur Abwicklung notarieller Vorgänge sowie zur Bearbeitung aller sonstiger Gebiete im notariellen und anwaltlichen Tätigkeitsgebiet, inklusive der Beratung von Notaren und Rechtsanwälten bzw. Kanzleien."
"""SEEHAUS"" - Planungsgesellschaft für Freizeiteinrichtungen mbH","Planung und Konzeptionierung von Ferienparks und ähnlichen Freizeiteinrichtungen. Die Gesellschaft ist berechtigt, alle Geschäfte vorzunehmen und alle Maßnahmen zu ergreifen, die mit dem Gegenstand des Unternehmens zusammenhängen und die unmittelbar oder mittelbar förderlich erscheinen."
LÖFFLER GmbH,"die Entwicklung, Herstellung und der Vertrieb von Bürositzmöbeln sowie der Handel mit Büromöbelteilen."
Mammitzsch Dienstleistungs GmbH,"Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Personenhandelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an der Transportunternehmen Dirk Mammitzsch GmbH & Co. KG mit Sitz in Heidenau."
bc Boden-Commercial-Immobilien GmbH,"Erwerb, Veräußerung sowie Vermittlung von Wohn-, Gewerbe- und Industriegrundstücken nebst Gewerbe- und Industriebetrieben, Vermittlung von Kauf-, Leas-, Miet- und Pachtverträgen für Gewerbe- und Industrieanlagen, sowie Durchführung von Haus- und Immobilienverwaltungen und Übernahme von wirtschaftlichen Beratungsleistungen, mit Ausnahme der Rechts- und Steuerberatung."
ABG Beteiligungsgesellschaft mbH,"Erwerb, Halten und Verwaltung von Unternehmens-Beteiligungen sowie alle damit zusammenhängende Geschäfte"
Munich Residential Projekt VI GmbH,"Erwerb, Verwaltung und Veräußerung von Immobilien sowie Konzeption, Projektierung von Gewerbe- und Wohngebäuden, ferner Vermietung und Veräußerung eigener und fremder Bauten. Des Weiteren ist Gegenstand des Unternehmens als Bauherr Bauvorhaben im eigenen Namen für eigene oder fremde Rechnung vorzubereiten und durchzuführen und diese zu vermieten und zu veräußern."
Hainer Service & Logistic GmbH,"Gegenstand des Unternehmens ist die Distribution von Verpackungsmaterialien und die Durchführung von Gütertransporten im Nahverkehrsbereich. Die Gesellschaft ist berechtigt, Zweigniederlassungen zu errichten und sich an anderen Unternehmen, insbesondere als persönlich haftende Gesellschafterin, zu beteiligen."
Tonerfabrik 2.0 GmbH,"Handel mit Computer und Computerzubehör; Handel/Vertrieb mit/von Druckerzubehör sowie deren Herstellung, insbesondere Handel/Vertrieb mit/von Toner und Tintenpatronen für Drucker und Fotokopiergeräte sowie deren Herstellung."
Gramm Technik GmbH mit dem Sitz in Ditzingen Zweigniederlassung Neunkirchen/Saar,"Entwicklung, Herstellung und Vertrieb von industriellen technischen Leistungen, insbesondere auf dem Gebiet der Metallveredelung"
LWS 1. Immobilienholding GmbH,"Verwaltung eigener Immobilien. Klargestellt wird, dass keine gewerbliche Tätigkeit ausgeübt werden soll. Geschäfte, die einer besonderen behördlichen Genehmigung bedürfen, sind nicht Gegenstand des Unternehmens, also insbesondere keine Tätigkeit im Sinne des § 34 c GewO."
KLARON GmbH,"Der Erwerb, die Verwaltung sowie die Veräußerung von Beteiligungen an anderen Unternehmen sowie die einheitliche Leitung der von ihr abhängigen Unternehmen; die Führung und Kontrolle von Unternehmen, sowie die Verwaltung eigenen Vermögens, einschließlich des Erwerbs und der Veräußerung von Wertpapieren im eigenen Namen und auf eigene Rechnung. Es werden keine Dienstleistungen für Dritte erbracht. Die Vermietung von Immobilien und Mobilien. Die Gesellschaft kann andere Unternehmen gründen, erwerben oder sich an ihnen beteiligen und deren Geschäftsführung übernehmen. Sie ist berechtigt, Zweigniederlassungen im Inund Ausland zu errichten. Gegenstand des Unternehmens ist auch die wirtschaftliche Vorbereitung und Betreuung von Bauvorhaben als Generalübernehmer; Erbringung von Finanzdienstleistungen, Kontoführung und Darlehensvergabe ausschließlich für Tochterunternehmen im Rahmen der Ausnahmeregelung der §§ 2 Abs. 1 Nr. 7 und Abs. 6 Satz 1 Nr. 5 KWG. Die Durchführung von Bauvorhaben und Sanierungsleistungen erfolgt durch Subunternehmen. Eigene handwerkliche Tätigkeiten werden nicht erbracht."
ABCD Consult GmbH,"Die Beratung und Projektentwicklung im Immobilienbereic:i, insbesondere gegenüber tatsächlichen oder möglichen Auftraggebern der KSP Planung GmbH bzw. der KSP Architektei-"
westicona investment GmbH,"Beratung, Produktentwicklung, Marketing, Vertrieb und Handel, insbesondere im Bereich Multimedia."
Elektrotechnik Nord GmbH,Durchführung von Elektroinstallationen und Handel mit elektrischen Geräten einschließlich aller damit verbundenen Tätigkeiten.
Schnittgefühl Kaiser UG (haftungsbeschränkt),"Gegenstand des Unternehmens ist das Friseurhandwerk, die Nagelmodellage sowie der Handel mit Friseurprodukten, Mode und Accessoires."
Badestrand Kosmetik GmbH,Der Handel und die Produktion von Kosmetikartikeln
GastroFIB Südwest UG (haftungsbeschränkt),"Die Erbringung und Entwicklung von Dienstleistungen und Dienstleistungssystemen, die der Erfassung und Verarbeitung von Belegen eines Geschäftsbetriebes bzw. dem Buchen laufender Geschäftsvorfälle - ausschließlich im Rahmen des & 6 StBerG - dienen. Die Bewertung von betriebswirtschaftlichen Zahlen im Rahmen von Rating- und Scoringverfahren. Die Erbringung von nicht erlaubnispflichtigen Beratungsleistungen auf dem Gebiet der Hotel- und Gastronomiebranche, der Handel mit branchenspezifischen Informationen, das Angebot von Marketingmöglichkeiten, die dem Geschäftszweck ihrer Kunden sowie deren Zulieferer dienlich sind."
exercon sales GmbH,Vertriebsdienstleistungen für Energielieferanten.
pro e motion GmbH,Kommunikationsberatung und Dienstleistungen aller Art zur Unterstützung bei der Unternehmenskommunikation.
Baugeschäft Balkan und Meyer GmbH,"Betrieb eines Baugeschäftes einschließlich der dazugehörenden Nebentätigkeiten, insbesondere das Erstellen von Neubauten aller Art und die Ausführung von Reparaturarbeiten im Baugewerbebereich. Die Gesellschaft ist berechtigt, Zweigniederlassungen zu errichten, gleichartige Unternehmen zu erwerben und sich an solchen zu beteiligen und deren Geschäftsführung zu übernehmen."
BSV-Baumaschinenservice Verwaltungsgesellschaft mbH,"die Ausführung von Verwaltungs- und Büroorganisationsarbeiten, das Personalmanagement sowie Controlling und Forderungsmanagement."
Helenius GmbH,"Verwaltung eigenen Vermögens, dies erfasst auch das Halten von Unternehmensbeteiligungen im In- und Ausland."
Schüco Polymer Technologies Beteiligungs GmbH,"Der Erwerb und die Verwaltung von Beteiligungen, jeweils in eigennütziger als auch in treuhänderischer Form, sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Personenhandelsgesellschaften."
Century Coding UG (haftungsbeschränkt),ist die Softwareentwicklung.
Tierärzte Elmshorn IVC Evidensia GmbH,"Erbringen von tierärztlichen Leistungen, der Betrieb einer tierärztlichen Hausapotheke, der Verkauf von Tierfuttermitteln sowie der Betrieb einer Weiterbildungsstätte auf dem Gebiet der Klein- und Heimtiere."
Meier Verwaltung GmbH,"das Halten und Verwalten sowie die Gründung und Übernahme von Beteiligungen an Gesellschaften und Unternehmen jeder Art einschließlich der Übernahme der Geschäftsführung sowie der persönlichen Haftung bei Handelsgesellschaften, insbesondere bei der Meier PAL GmbH & Co. KG."
Rexha Bau GmbH,"sämtliche Tätigkeiten im Bereich Baubetreuung, Übernahme und Vermittlung von Bau- und Baudienstleistungen, Gartenund Landschaftsbau, Einbau von genormten Baufertigteilen, Vermietung von beweglichen Gegenständen"
Raab Verwaltungs GmbH,"Übernahme der Geschäftsführung als persönlich haftende Gesellschafterin der Maschinenbau Raab GmbH & Co KG mit dem Sitz in Wilhelmsthal (nachfolgend ""Kommanditgesellschaft"" genannt), die Vornahme aller damit im Zusammenhang stehenden Geschäfte sowie die Förderung des Unternehmenszwecks der vorgenannten Kommanditgesellschaft innerhalb ihres Unternehmensgegenstandes, nämlich Planung, Konstruktion und Produktion von Sondermaschinen, vorwiegend für die Automobilindustrie."
Wirtschaftskanzlei Lübeck GmbH,"Vermittlung von Finanzierungen, Vermittlung von Immobilien als Kapitalanlagen, Immobilienmakler, Versicherungsmakler"
KEVO GmbH,"Die Übernahme, der Erwerb, das Halten und die Veräußerung von Beteiligungen an anderen Unternehmen und sonstigen Vermögenswerten."
Ritter Mein Bad GmbH,Verkauf und Komplettbadsanierung ; Vorfertigen von Elementen und Bauteilen im Sanitärbereich; Verkauf und Installation von Heizungen jedweder Art ; An- und Verkauf von Waren aller Art .
Paule Spedition und Kranarbeiten GmbH,"Gegenstand geändert; nun: Betrieb eines Speditionsgeschäftes, insbesondere auf dem Gebiet des Schwertransports, die Lagerung von Waren und Gütern aller Art, ferner der Betrieb von Kränen und der Montage für alle denkbaren Zwecke sowie die Übernahme und Verwaltung von Beteiligungen an Industrieund Handelsunternehmen sowie die Geschäftsführung für solche Unternehmen, insbesondere die Beteiligung als persönlich haftender Gesellschafter an der Kommanditgesellschaft unter der Firma Herrmann Paule GmbH & Co. KG Stuttgart."
LightScience GmbH,Gegenstand des Unternehmens ist die Produktion und der Vertrieb von Produkten für die Automobilherstellung.
B.S.D. Security & Services UG (haftungsbeschränkt),Security Dienste aller Art.
Guettler Consulting Limited,"Die Vornahme und Ausübung aller gewerblichen Geschäfte und Tätigkeiten sowie alle damit zusammenhängenden Tätigkeiten, die für eine allgemeine kaufmännische Handelsgesellschaft und/oder sonstige Gesellschaft üblich und erforderlich sind. In diesem Zusammenhang können alle damit zusammenhängenden Geschäfte aller möglichen Geschäftsbereiche getätigt werden, die nach Gutdünken der Geschäftsführung für die Gesellschaft und ihre wirtschaftlichen Ziele von Vorteil sein können. Die Zweigniederlassung beschäftigt sich mit dem Coaching und der Schulung von Kunden im SAP- und Oracle-Umfeld sowie aller damit zusammenhängenden Tätigkeiten, die für eine allgemeine kaufmännische Handelsgesellschaft und/oder sonstige Gesellschaft üblich und erforderlich sind. Die Niederlassung kann alle damit zusammenhängenden Geschäfte tätigen und sich an anderen Unternehmen gleichen oder ähnlichen Geschäftszweiges in jeder geeigneten Form beteiligen oder solche Unternehmen erwerben."
Spezialbau Kluge GmbH,Die Ausführung von Hoch- und Tiefbauarbeiten sowie der Handel mit Baustoffen und Baumaschinen.
Apollon Technology UG (haftungsbeschränkt),Entwicklung von elektronischen Komponenten sowie Software.
Hermsdorf Fördertechnik GmbH,"Herstellung von Edelstahl-Fördertechnik sowie Sondermaschinenbau; Handel mit fördertechnischen Anlagen und Elementen, mit Metallen und Metallhalbzeugen"
70. FSR. Vermögensverwaltung GmbH,die Verwaltung des eigenen Vermögens.
F. E. IMMOVEST und Wohnbau GmbH,"Vermittlung von Grundstücksgeschäften aller Art, Handel mit Grundstücken und grundstücksgleichen Rechten, Vorbereitung und Durchführung von Bauvorhaben als Bauherr im eigenen Namen für eigene und fremde Rechnung und Tätigkeit als Bauträger."
Blueliner event UG (haftungsbeschränkt),"Gastronomie, Event, Marketing, Dienstleistungen."
Goebel Porzellanmanufaktur GmbH,Verwaltung eigenen Vermögens
ValiData GmbH,Die Erstellung von Software.
Iryar Trade GmbH,"- Handel mit Kaffee, Tee, Fruchtsäften, - Handel mit Elektrogeräten, - Handel mit Anlagen und Maschinen Genehmigungspflichtige Geschäfte werden nicht getätigt."
BORMANN Investments GmbH,Die Verwaltung eigenen Vermögens.
Frommeyer GmbH Garten- und Landschaftsbau,die Planung und Ausführung von Gartenund Landschaftsgestaltung.
gerberCom.WERBEAGENTUR GmbH,Marketing-Beratung und Werbung mit sämtlich verbundenen Dienstleistungen jeder Art. Die Gesellschaft kann Zweigniederlassungen errichten und sich an gleichartigen oder ähnlichen Unternehmen beteiligen.
Ruhrbotics GmbH,"Die Beratung, Planung und Durchführung von Konzepten zur Optimierung von Produktionsabläufen nebst Schulungen, ferner die Entwicklung, der Aufbau und Vertrieb von Automatisierungsanlagen und deren Installation und Wartung sowie alle sonstigen Geschäfte, die hiermit im Zusammenhang stehen oder gebracht werden können."
SPIN Sport Innovation Verwaltungs-GmbH,"die Verwaltung eigenen Vermögens, die Beteiligung an anderen Gesellschaften, insbesondere als persönlich haftende Gesellschafterin"
Optik Haus Salzmann GmbH,"Herstellung von und der Groß- und Einzelhandel mit Sehhilfen aller Art, insbesondere von und mit Brillen und Kontaktlinsen und dazugehörigen Artikeln"
allsailing UG (haftungsbeschränkt),Gegenstand des Unternehmens ist der Handel mit Segelbekleidung und -zubehör.
MARTIN Internationale Spedition & Handelsgesellschaft mbH,Ein- und Verkauf von Transportleistungen im In- und Ausland und der Im - und Export von Waren soweit die dafür erforderlichen spezielle behördliche Genehmigungen vorliegen. Das Unternehmen führt die Transporte nicht selbst durch.
BAGAR Werbung + Design GmbH,"Betrieb einer Werbeagentur, Groß- und Einzelhandel mit Werbeartikeln, Werbetechnik (Druck, Beklebung, Folierung), Grafik- und Kommunikationsdesign. Beratungstätigkeit im Bereich Grafik, Werbung, Marketing und Design sowie Herstellung von Schildern und Lichtreklamen."
UNZE Gold und Schmuck Handels GmbH,"Gegenstand des Unternehmens ist der Handel mit Schmuck aus Gold, aber auch aus anderen Metallen und Stoffen, mit und ohne Edelsteinbesatz."
Neue Firma: Springer Fitness & Gesundheit GmbH,Betrieb eines Sportstudios zur Förderung der Gesundheit.
I. D. von Hagen GmbH,"Die Herstellung und der Vertrieb von Metallund Kunststoffteilen jeder Art, insbesondere die Fortführung des Handelsgeschäftes der im Handelsregister des Amtsgerichts Iserlohn unter HRA 80 eingetragenen Einzelfirma I. D. von Hagen. Die Gesellschaft kann alle Geschäfte betreiben, die dem Gesellschaftszweck unmittelbar oder mittelbar zu dienen geeignet sind. Sie kann Zweigniederlassungen errichten und sich an gleichartigen oder ähnlichen Unternehmen beteiligen und ihre Geschäfte führen."
Schilfhaus GmbH,"Betrieb einer Pension auf dem Grundstück in Wolgast, Am Fischmarkt 7, Flur 19 Flurstücke 4/6, 4/4 und 5/7"
